Emp_id,Age,Gender,Education Level,Job Title,Years of Experience,Salary,Monthly Investment,Retirement Target,Risk Tolerance
0,32,Male,Bachelor's,Software Engineer,5,90000,2000,8000000,Medium
1,28,Female,Master's,Data Analyst,3,65000,6000,15000000,Medium
2,45,Male,PhD,Senior Manager,15,150000,3000,12000000,High
3,36,Female,Bachelor's,Sales Associate,7,60000,6000,16000000,Low
4,52,Male,Master's,Director,20,200000,11000,14000000,High
5,29,Male,Bachelor's,Marketing Analyst,2,55000,8000,14000000,Low
6,42,Female,Master's,Product Manager,12,120000,3000,13000000,High
7,31,Male,Bachelor's,Sales Manager,4,80000,4000,12000000,Medium
8,26,Female,Bachelor's,Marketing Coordinator,1,45000,5000,14000000,Low
9,38,Male,PhD,Senior Scientist,10,110000,1000,16000000,High
10,29,Male,Master's,Software Developer,3,75000,12000,10000000,Medium
11,48,Female,Bachelor's,HR Manager,18,140000,1000,13000000,High
12,35,Male,Bachelor's,Financial Analyst,6,65000,6000,14000000,Medium
13,40,Female,Master's,Project Manager,14,130000,7000,12000000,High
14,27,Male,Bachelor's,Customer Service Rep,2,40000,11000,8000000,Low
15,44,Male,Bachelor's,Operations Manager,16,125000,9000,16000000,High
16,33,Female,Master's,Marketing Manager,7,90000,11000,17000000,Medium
17,39,Male,PhD,Senior Engineer,12,115000,4000,18000000,High
18,25,Female,Bachelor's,Data Entry Clerk,0,35000,10000,17000000,Low
19,51,Male,Bachelor's,Sales Director,22,180000,2000,5000000,High
20,34,Female,Master's,Business Analyst,5,80000,12000,18000000,Medium
21,47,Male,Master's,VP of Operations,19,190000,6000,5000000,High
22,30,Male,Bachelor's,IT Support,2,50000,1000,8000000,Low
23,36,Female,Bachelor's,Recruiter,9,60000,9000,16000000,Low
24,41,Male,Master's,Financial Manager,13,140000,14000,10000000,High
25,28,Female,Bachelor's,Social Media Specialist,3,45000,11000,15000000,Low
26,37,Female,Master's,Software Manager,11,110000,4000,9000000,High
27,24,Male,Bachelor's,Junior Developer,1,40000,14000,10000000,Low
28,43,Female,PhD,Senior Consultant,15,140000,14000,19000000,High
29,33,Male,Master's,Product Designer,6,90000,14000,14000000,Medium
30,50,Male,Bachelor's,CEO,25,250000,9000,17000000,High
31,31,Female,Bachelor's,Accountant,4,55000,4000,10000000,Low
32,29,Male,Master's,Data Scientist,3,75000,8000,15000000,Medium
33,39,Female,Bachelor's,Marketing Specialist,10,65000,9000,11000000,Medium
34,46,Male,PhD,Senior Manager,20,170000,2000,19000000,High
35,27,Male,Bachelor's,Technical Writer,2,45000,13000,7000000,Low
36,35,Female,Bachelor's,HR Generalist,7,60000,14000,14000000,Low
37,42,Male,Master's,Project Engineer,14,115000,11000,5000000,High
38,26,Female,Bachelor's,Customer Success Rep,1,40000,1000,15000000,Low
39,49,Male,Bachelor's,Sales Executive,21,160000,11000,17000000,High
40,34,Female,Master's,UX Designer,5,80000,14000,9000000,Medium
41,48,Male,Master's,Operations Director,18,190000,10000,9000000,High
42,30,Male,Bachelor's,Network Engineer,3,60000,3000,13000000,Low
43,36,Female,Bachelor's,Administrative Assistant,8,45000,6000,7000000,Low
44,41,Male,Master's,Strategy Consultant,13,130000,12000,5000000,High
45,28,Female,Bachelor's,Copywriter,2,40000,13000,5000000,Low
46,32,Male,Bachelor's,Account Manager,5,75000,10000,6000000,Medium
47,45,Female,Master's,Director of Marketing,16,180000,2000,16000000,High
48,38,Male,PhD,Senior Scientist,11,120000,8000,15000000,High
49,25,Male,Bachelor's,Help Desk Analyst,0,35000,2000,9000000,Low
50,51,Female,Bachelor's,Customer Service Manager,22,130000,6000,6000000,High
51,33,Male,Master's,Business Intelligence Analyst,7,85000,3000,8000000,Medium
52,40,Female,Bachelor's,Event Coordinator,12,60000,5000,6000000,Low
53,47,Male,Master's,VP of Finance,19,200000,8000,11000000,High
54,29,Female,Bachelor's,Graphic Designer,3,50000,6000,10000000,Low
55,36,Male,Bachelor's,Sales Manager,9,95000,4000,12000000,Medium
56,27,Female,Master's,UX Researcher,2,65000,11000,12000000,Medium
57,43,Male,PhD,Senior Engineer,17,140000,13000,8000000,High
58,30,Female,Bachelor's,Social Media Manager,4,55000,11000,11000000,Low
59,35,Male,Master's,Product Manager,7,105000,2000,7000000,High
60,51,Female,Master's,Director of Operations,23,170000,4000,19000000,High
61,29,Male,Bachelor's,Marketing Analyst,3,50000,10000,12000000,Low
62,40,Female,Bachelor's,HR Manager,12,80000,1000,11000000,Medium
63,47,Male,PhD,Senior Data Scientist,21,180000,6000,19000000,High
64,26,Male,Bachelor's,Junior Accountant,1,35000,7000,9000000,Low
65,38,Female,Master's,Digital Marketing Manager,10,90000,1000,10000000,Medium
66,46,Male,Bachelor's,IT Manager,19,120000,2000,11000000,High
67,31,Female,Bachelor's,Customer Service Representative,5,45000,3000,13000000,Low
68,34,Male,Master's,Business Development Manager,8,90000,6000,18000000,Medium
69,49,Female,Master's,Senior Financial Analyst,18,150000,14000,19000000,High
70,33,Male,Bachelor's,Web Developer,6,65000,13000,13000000,Medium
71,39,Female,Bachelor's,Recruiter,11,70000,3000,6000000,Medium
72,45,Male,PhD,Research Director,16,190000,5000,15000000,High
73,28,Male,Bachelor's,Technical Support Specialist,2,40000,10000,11000000,Low
74,42,Female,Master's,Creative Director,14,120000,13000,13000000,High
75,37,Male,Bachelor's,Project Manager,10,95000,14000,18000000,Medium
76,50,Female,Bachelor's,Operations Manager,22,160000,14000,19000000,High
77,32,Male,Master's,Senior Software Engineer,6,100000,13000,6000000,High
78,48,Female,Master's,Human Resources Director,20,180000,3000,16000000,High
79,30,Female,Bachelor's,Content Marketing Manager,3,55000,7000,9000000,Low
80,36,Male,Bachelor's,Technical Recruiter,8,70000,10000,9000000,Medium
81,41,Female,Master's,Data Analyst,13,80000,8000,12000000,Medium
82,25,Male,Bachelor's,Sales Representative,0,30000,10000,19000000,Low
83,52,Male,PhD,Chief Technology Officer,24,250000,5000,19000000,High
84,29,Female,Bachelor's,Junior Designer,2,40000,1000,10000000,Low
85,34,Female,Master's,Financial Advisor,10,95000,12000,15000000,Medium
86,27,Male,Bachelor's,Junior Account Manager,2,45000,13000,5000000,Low
87,40,Female,Bachelor's,HR Generalist,15,80000,4000,16000000,Medium
88,46,Male,Master's,Senior Project Manager,21,135000,11000,12000000,High
89,31,Female,Bachelor's,Marketing Coordinator,6,55000,2000,9000000,Low
90,36,Male,PhD,Principal Scientist,11,120000,2000,14000000,High
91,29,Female,Bachelor's,Sales Associate,3,40000,12000,6000000,Low
92,43,Male,Bachelor's,Supply Chain Manager,18,105000,5000,5000000,High
93,52,Female,Master's,Senior Marketing Manager,25,170000,8000,7000000,High
94,33,Male,Bachelor's,Business Analyst,7,75000,8000,19000000,Medium
95,39,Female,Bachelor's,Training Specialist,12,65000,13000,8000000,Medium
96,47,Male,PhD,Research Scientist,22,160000,4000,7000000,High
97,26,Male,Bachelor's,Junior Software Developer,1,35000,14000,18000000,Low
98,38,Female,Master's,Public Relations Manager,10,90000,5000,14000000,Medium
99,45,Male,Bachelor's,Operations Analyst,20,110000,6000,12000000,High
100,31,Female,Bachelor's,Event Coordinator,5,45000,10000,16000000,Low
101,35,Male,Master's,Product Marketing Manager,8,95000,2000,11000000,Medium
102,49,Female,Master's,Senior HR Manager,19,150000,10000,6000000,High
103,33,Male,Bachelor's,Junior Web Developer,5,50000,9000,15000000,Low
104,39,Female,Master's,Senior Project Coordinator,13,80000,10000,6000000,Medium
105,44,Male,PhD,Chief Data Officer,16,220000,4000,8000000,High
106,30,Female,Bachelor's,Digital Content Producer,3,50000,14000,13000000,Low
107,36,Male,Bachelor's,IT Support Specialist,7,60000,6000,12000000,Low
108,41,Female,Master's,Senior Marketing Analyst,14,100000,10000,18000000,High
109,28,Male,Bachelor's,Customer Success Manager,2,40000,1000,16000000,Low
110,42,Female,Master's,Senior Graphic Designer,15,110000,13000,6000000,High
111,37,Male,Bachelor's,Software Project Manager,9,95000,12000,18000000,Medium
112,50,Female,Bachelor's,Supply Chain Analyst,22,130000,6000,11000000,High
113,32,Male,Master's,Senior Business Analyst,6,90000,10000,16000000,Medium
114,23,Female,Bachelor's,Junior Marketing Analyst,0.5,35000,11000,14000000,Low
115,31,Male,Master's,Senior Financial Analyst,6,95000,10000,5000000,Medium
116,40,Female,Bachelor's,Office Manager,15,65000,3000,8000000,Medium
117,48,Male,PhD,Principal Engineer,20,170000,12000,19000000,High
118,29,Female,Bachelor's,Junior HR Generalist,3,45000,14000,18000000,Low
119,35,Male,Master's,Senior Product Manager,10,120000,7000,10000000,High
120,42,Female,Bachelor's,Sales Manager,17,100000,6000,19000000,High
121,53,Male,Master's,Director of Marketing,25,180000,10000,12000000,High
122,33,Female,Bachelor's,Junior Operations Analyst,5,50000,2000,5000000,Low
123,38,Male,Bachelor's,Customer Service Manager,11,80000,1000,11000000,Medium
124,44,Female,PhD,Senior Scientist,16,140000,3000,13000000,High
125,26,Male,Bachelor's,Junior Accountant,2,40000,2000,16000000,Low
126,37,Female,Master's,Senior HR Generalist,9,95000,14000,5000000,Medium
127,45,Male,Bachelor's,Sales Operations Manager,18,110000,6000,11000000,High
128,32,Female,Bachelor's,Marketing Coordinator,4,50000,13000,9000000,Low
129,34,Male,Master's,Senior Software Developer,8,105000,7000,15000000,High
130,50,Female,Master's,Director of Operations,21,160000,14000,10000000,High
131,29,Male,Bachelor's,Junior Web Designer,3,45000,13000,5000000,Low
132,40,Female,Master's,Senior Training Specialist,12,100000,7000,16000000,High
133,47,Male,PhD,Senior Research Scientist,22,160000,14000,16000000,High
134,27,Male,Bachelor's,Junior Sales Representative,1,35000,10000,11000000,Low
135,39,Female,Bachelor's,Administrative Assistant,10,55000,3000,6000000,Low
136,46,Male,Master's,Senior Project Manager,19,140000,11000,6000000,High
137,30,Female,Bachelor's,Junior Marketing Manager,4,50000,2000,15000000,Low
138,36,Male,Bachelor's,Junior Data Analyst,7,60000,11000,9000000,Low
139,43,Female,Master's,Senior Product Marketing Manager,14,120000,8000,19000000,High
140,28,Male,Bachelor's,Junior Business Analyst,2,40000,3000,10000000,Low
141,41,Female,Master's,Senior Marketing Manager,13,110000,5000,8000000,High
142,33,Male,Bachelor's,Junior Software Developer,5,50000,10000,18000000,Low
143,47,Male,Bachelor's,Senior Sales Manager,20,135000,6000,9000000,High
144,25,Female,Master's,Junior Marketing Specialist,1.5,40000,2000,12000000,Low
145,34,Male,Bachelor's,Senior Business Analyst,8,90000,13000,9000000,Medium
146,42,Female,PhD,Senior Data Scientist,16,150000,5000,11000000,High
147,31,Male,Bachelor's,Junior Project Manager,4,60000,12000,18000000,Low
148,38,Female,Bachelor's,Senior Accountant,10,80000,6000,13000000,Medium
149,45,Male,Master's,Director of Sales,19,175000,1000,12000000,High
150,29,Female,Bachelor's,Junior Recruiter,3,45000,4000,16000000,Low
151,36,Male,Master's,Senior Business Development Manager,11,120000,4000,6000000,High
152,43,Female,PhD,Senior Product Designer,18,140000,10000,12000000,High
153,26,Male,Bachelor's,Junior Customer Support Specialist,2,35000,1000,18000000,Low
154,37,Female,Master's,Senior Marketing Analyst,9,95000,9000,11000000,Medium
155,44,Male,Bachelor's,Senior IT Support Specialist,14,110000,9000,19000000,High
156,32,Female,Bachelor's,Junior Financial Analyst,5,50000,3000,12000000,Low
157,33,Male,Master's,Senior Operations Manager,7,115000,5000,18000000,High
158,51,Female,PhD,Director of Human Resources,23,185000,13000,10000000,High
159,28,Male,Bachelor's,Junior Software Engineer,2,40000,6000,8000000,Low
160,39,Female,Bachelor's,Senior Sales Representative,12,90000,3000,17000000,Medium
161,48,Male,Master's,Director of Product Management,21,175000,2000,7000000,High
162,30,Female,Bachelor's,Junior Copywriter,3,45000,2000,15000000,Low
163,35,Male,Bachelor's,Senior Marketing Coordinator,7,80000,2000,15000000,Medium
164,41,Female,Master's,Senior Human Resources Manager,13,120000,5000,10000000,High
165,27,Male,Bachelor's,Junior Business Development Associate,1.5,35000,7000,9000000,Low
166,40,Female,Bachelor's,Senior Account Manager,14,110000,8000,11000000,High
167,46,Male,PhD,Senior Researcher,18,150000,11000,16000000,High
168,31,Female,Bachelor's,Junior HR Coordinator,4,50000,3000,13000000,Low
169,34,Male,Master's,Senior Software Engineer,9,105000,4000,16000000,High
170,50,Female,Master's,Director of Finance,20,180000,3000,19000000,High
171,29,Male,Bachelor's,Junior Marketing Coordinator,2,40000,5000,14000000,Low
173,43,Male,Bachelor's,Senior Project Manager,16,140000,8000,13000000,High
174,26,Female,Master's,Junior Data Scientist,1.5,45000,6000,7000000,Low
175,35,Male,Bachelor's,Senior Operations Analyst,7,85000,4000,16000000,Medium
176,42,Female,PhD,Senior Marketing Manager,18,140000,14000,12000000,High
177,31,Male,Bachelor's,Junior Accountant,4,50000,12000,17000000,Low
178,38,Female,Bachelor's,Senior Human Resources Coordinator,10,80000,1000,19000000,Medium
179,46,Male,Master's,Director of Operations,20,170000,2000,13000000,High
180,29,Female,Bachelor's,Junior Sales Representative,2,40000,4000,11000000,Low
181,37,Male,Master's,Senior Business Analyst,9,105000,11000,15000000,High
182,44,Female,PhD,Senior UX Designer,15,145000,9000,18000000,High
183,27,Male,Bachelor's,Junior Product Manager,2,40000,3000,14000000,Low
184,36,Female,Bachelor's,Senior Marketing Specialist,8,85000,7000,11000000,Medium
185,43,Male,Bachelor's,Senior IT Project Manager,14,130000,9000,14000000,High
186,33,Female,Master's,Senior Financial Analyst,6,95000,6000,5000000,Medium
187,34,Male,Bachelor's,Senior Quality Assurance Analyst,9,100000,5000,17000000,High
188,50,Female,PhD,Director of Sales and Marketing,22,180000,6000,17000000,High
189,28,Male,Bachelor's,Junior Operations Analyst,1.5,35000,6000,11000000,Low
190,39,Female,Bachelor's,Senior Account Executive,12,95000,1000,14000000,Medium
191,47,Male,Master's,Director of Business Development,19,170000,3000,12000000,High
192,30,Female,Bachelor's,Junior Social Media Manager,3,45000,12000,19000000,Low
193,34,Male,Bachelor's,Senior Product Manager,7,95000,3000,11000000,Medium
194,40,Female,Master's,Senior Human Resources Specialist,13,120000,7000,16000000,High
195,28,Male,Bachelor's,Junior Business Analyst,2,40000,4000,8000000,Low
196,41,Female,Bachelor's,Senior Marketing Coordinator,11,90000,14000,7000000,Medium
197,45,Male,PhD,Senior Data Analyst,17,155000,6000,14000000,High
198,32,Female,Bachelor's,Junior Account Manager,5,55000,2000,17000000,Low
199,35,Male,Master's,Senior Software Developer,9,110000,7000,5000000,High
200,49,Female,Master's,Director of Human Capital,21,180000,14000,15000000,High
201,30,Male,Bachelor's,Junior Advertising Coordinator,3,45000,6000,6000000,Low
202,44,Male,Bachelor's,Senior Sales Manager,16,130000,2000,16000000,High
203,27,Female,Master's,Junior UX Designer,1.5,45000,14000,16000000,Low
204,36,Male,Bachelor's,Senior Accountant,7,90000,9000,11000000,Medium
205,41,Female,PhD,Senior Marketing Director,17,160000,13000,15000000,High
206,31,Male,Bachelor's,Junior HR Generalist,4,50000,13000,19000000,Low
207,39,Female,Bachelor's,Senior Operations Manager,10,120000,12000,5000000,High
208,47,Male,Master's,Director of Finance,20,170000,4000,6000000,High
209,30,Female,Bachelor's,Junior Marketing Coordinator,2,40000,6000,19000000,Low
210,38,Male,Master's,Senior IT Consultant,9,110000,5000,19000000,High
211,45,Female,PhD,Senior Product Designer,15,150000,9000,12000000,High
212,28,Male,Bachelor's,Junior Business Development Associate,2,40000,11000,19000000,Low
213,35,Female,Bachelor's,Senior Marketing Analyst,8,85000,4000,11000000,Medium
214,44,Male,Bachelor's,Senior Software Engineer,14,130000,5000,12000000,High
215,34,Female,Master's,Senior Financial Advisor,6,100000,14000,15000000,High
216,35,Male,Bachelor's,Senior Project Coordinator,9,95000,13000,6000000,Medium
217,50,Female,PhD,Director of Operations,22,180000,4000,19000000,High
218,29,Male,Bachelor's,Junior Business Operations Analyst,1.5,35000,12000,10000000,Low
219,40,Female,Bachelor's,Senior Sales Representative,12,100000,2000,5000000,High
220,48,Male,Master's,Director of Marketing,19,170000,2000,12000000,High
221,31,Female,Bachelor's,Junior Social Media Specialist,3,45000,6000,14000000,Low
222,33,Male,Bachelor's,Senior Product Development Manager,7,100000,8000,16000000,High
223,42,Female,Master's,Senior Human Resources Manager,13,140000,13000,14000000,High
224,28,Male,Bachelor's,Junior Financial Analyst,2,40000,9000,8000000,Low
225,40,Female,Bachelor's,Senior Marketing Manager,11,105000,14000,16000000,High
226,46,Male,PhD,Senior Data Scientist,18,160000,8000,17000000,High
227,33,Female,Bachelor's,Junior Operations Manager,5,70000,14000,12000000,Medium
228,37,Male,Master's,Senior Software Architect,9,120000,9000,14000000,High
229,51,Female,Master's,Director of Human Resources,21,190000,10000,7000000,High
230,30,Male,Bachelor's,Junior Marketing Specialist,3,45000,5000,11000000,Low
231,43,Male,Bachelor's,Senior Project Manager,15,120000,7000,13000000,High
232,27,Female,Master's,Junior Research Scientist,1.5,50000,10000,13000000,Low
233,35,Male,Bachelor's,Senior Operations Analyst,8,85000,9000,14000000,Medium
234,42,Female,PhD,Senior Marketing Manager,13,140000,3000,15000000,High
235,32,Male,Bachelor's,Junior Sales Representative,3,45000,12000,9000000,Low
