Emp_id,Age,Gender,Education Level,Job Title,Years of Experience,Salary,Retirement Target,Monthly Investment,Risk Tolerance
0,32,Male,Bachelor's,Software Engineer,5,90000,17700000,15000,Medium
1,28,Female,Master's,Data Analyst,3,65000,10100000,3000,Medium
2,45,Male,PhD,Senior Manager,15,150000,12900000,14000,High
3,36,Female,Bachelor's,Sales Associate,7,60000,5700000,1000,Low
4,52,Male,Master's,Director,20,200000,17500000,14000,High
5,29,Male,Bachelor's,Marketing Analyst,2,55000,17500000,17000,Low
6,42,Female,Master's,Product Manager,12,120000,17900000,11000,High
7,31,Male,Bachelor's,Sales Manager,4,80000,15100000,18000,Medium
8,26,Female,Bachelor's,Marketing Coordinator,1,45000,14100000,5000,Low
9,38,Male,PhD,Senior Scientist,10,110000,7600000,4000,High
10,29,Male,Master's,Software Developer,3,75000,7400000,7000,Medium
11,48,Female,Bachelor's,HR Manager,18,140000,11100000,16000,High
12,35,Male,Bachelor's,Financial Analyst,6,65000,12300000,15000,Medium
13,40,Female,Master's,Project Manager,14,130000,14600000,16000,High
14,27,Male,Bachelor's,Customer Service Rep,2,40000,7000000,6000,Low
15,44,Male,Bachelor's,Operations Manager,16,125000,19300000,19000,High
16,33,Female,Master's,Marketing Manager,7,90000,8900000,1000,Medium
17,39,Male,PhD,Senior Engineer,12,115000,10300000,15000,High
18,25,Female,Bachelor's,Data Entry Clerk,0,35000,11200000,8000,Low
19,51,Male,Bachelor's,Sales Director,22,180000,9300000,18000,High
20,34,Female,Master's,Business Analyst,5,80000,17100000,11000,Medium
21,47,Male,Master's,VP of Operations,19,190000,12100000,19000,High
22,30,Male,Bachelor's,IT Support,2,50000,8000000,8000,Low
23,36,Female,Bachelor's,Recruiter,9,60000,18200000,1000,Low
24,41,Male,Master's,Financial Manager,13,140000,12300000,13000,High
25,28,Female,Bachelor's,Social Media Specialist,3,45000,18700000,4000,Low
26,37,Female,Master's,Software Manager,11,110000,15400000,9000,High
27,24,Male,Bachelor's,Junior Developer,1,40000,7400000,19000,Low
28,43,Female,PhD,Senior Consultant,15,140000,6500000,19000,High
29,33,Male,Master's,Product Designer,6,90000,10300000,9000,Medium
30,50,Male,Bachelor's,CEO,25,250000,8000000,17000,High
31,31,Female,Bachelor's,Accountant,4,55000,11700000,10000,Low
32,29,Male,Master's,Data Scientist,3,75000,19800000,6000,Medium
33,39,Female,Bachelor's,Marketing Specialist,10,65000,9100000,15000,Medium
34,46,Male,PhD,Senior Manager,20,170000,7500000,6000,High
35,27,Male,Bachelor's,Technical Writer,2,45000,6200000,14000,Low
36,35,Female,Bachelor's,HR Generalist,7,60000,12000000,1000,Low
37,42,Male,Master's,Project Engineer,14,115000,12600000,7000,High
38,26,Female,Bachelor's,Customer Success Rep,1,40000,10300000,15000,Low
39,49,Male,Bachelor's,Sales Executive,21,160000,12500000,15000,High
40,34,Female,Master's,UX Designer,5,80000,11100000,19000,Medium
41,48,Male,Master's,Operations Director,18,190000,17500000,18000,High
42,30,Male,Bachelor's,Network Engineer,3,60000,17300000,8000,Low
43,36,Female,Bachelor's,Administrative Assistant,8,45000,12000000,3000,Low
44,41,Male,Master's,Strategy Consultant,13,130000,7800000,19000,High
